case_id,support,cost_model,mesh_edge_cost,closure_edge_cost,relaxation_budget,admissible_members,minimum_signal,diameter,ratio,diameter_relative_gap,signal_relative_gap
alph05-10071-2024,fine_F100,balanced,0.25,0.25,0.0,4,0.005803502967438074,0.002541864613862918,2.2831676147449826,0.9363634431218898,3.677113470193844e-09
alph05-10071-2024,fine_F100,balanced,0.25,0.25,0.5,76,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,balanced,0.25,0.25,0.75,172,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,balanced,0.25,0.25,1.0,256,0.0058035029460979356,0.039943465494709535,0.14529292524371984,0.0,0.0
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.0,4,0.005803502967438074,0.002541864613862918,2.2831676147449826,0.9363634431218898,3.677113470193844e-09
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.2,16,0.005803502967438074,0.03994346524983127,0.14529292666871435,6.130621378670633e-09,3.677113470193844e-09
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.5,64,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.6,112,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.8,124,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,0.9,172,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,mesh_dominant,0.4,0.1,1.0,256,0.0058035029460979356,0.039943465494709535,0.14529292524371984,0.0,0.0
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.0,4,0.005803502967438074,0.002541864613862918,2.2831676147449826,0.9363634431218898,3.677113470193844e-09
