mask,cuts,cost,lower,upper,width,full_width_supported,components
0,0,0.0,0.09940406143324101,0.09991315622320152,0.0005090947899605014,False,"0,1,2,3,4,5,6,7"
1,1,0.14285714285714285,0.09939123095917198,0.09991315622320152,0.0005219252640295408,False,"0;1,2,3,4,5,6,7"
2,1,0.14285714285714285,0.0993980195364463,0.09991315622320153,0.0005151366867552354,False,"0,1;2,3,4,5,6,7"
3,2,0.2857142857142857,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1;2,3,4,5,6,7"
4,1,0.14285714285714285,0.09939851567245041,0.09991315622320152,0.0005146405507511082,False,"0,1,2;3,4,5,6,7"
5,2,0.2857142857142857,0.09938951449464707,0.09991315622320152,0.0005236417285544442,False,"0;1,2;3,4,5,6,7"
6,2,0.2857142857142857,0.09939630307192139,0.09991315622320152,0.000516853151280125,False,"0,1;2;3,4,5,6,7"
7,3,0.42857142857142855,0.09938951449464707,0.09991315622320152,0.0005236417285544442,False,"0;1;2;3,4,5,6,7"
8,1,0.14285714285714285,0.09940162282922803,0.09991315622320152,0.0005115333939734873,False,"0,1,2,3;4,5,6,7"
9,2,0.2857142857142857,0.09939043431731108,0.09991315622320153,0.0005227219058904498,False,"0;1,2,3;4,5,6,7"
10,2,0.2857142857142857,0.0993972228945854,0.09991315622320153,0.0005159333286161305,False,"0,1;2,3;4,5,6,7"
11,3,0.42857142857142855,0.09939043431731108,0.09991315622320153,0.0005227219058904498,False,"0;1;2,3;4,5,6,7"
12,2,0.2857142857142857,0.09939851567245041,0.09991315622320152,0.0005146405507511082,False,"0,1,2;3;4,5,6,7"
13,3,0.42857142857142855,0.09938951449464707,0.09991315622320152,0.0005236417285544442,False,"0;1,2;3;4,5,6,7"
14,3,0.42857142857142855,0.09939630307192139,0.09991315622320152,0.000516853151280125,False,"0,1;2;3;4,5,6,7"
15,4,0.5714285714285714,0.09938951449464707,0.09991315622320152,0.0005236417285544442,False,"0;1;2;3;4,5,6,7"
16,1,0.14285714285714285,0.09940335088274867,0.09991315622320152,0.0005098053404528485,False,"0,1,2,3,4;5,6,7"
17,2,0.2857142857142857,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1,2,3,4;5,6,7"
18,2,0.2857142857142857,0.0993980195364463,0.09991315622320153,0.0005151366867552354,False,"0,1;2,3,4;5,6,7"
19,3,0.42857142857142855,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1;2,3,4;5,6,7"
20,2,0.2857142857142857,0.09939831596977453,0.09991315622320152,0.0005148402534269902,False,"0,1,2;3,4;5,6,7"
21,3,0.42857142857142855,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1,2;3,4;5,6,7"
22,3,0.42857142857142855,0.09939610336924551,0.09991315622320152,0.0005170528539560071,False,"0,1;2;3,4;5,6,7"
23,4,0.5714285714285714,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1;2;3,4;5,6,7"
24,2,0.2857142857142857,0.09940142312655215,0.09991315622320152,0.0005117330966493694,False,"0,1,2,3;4;5,6,7"
25,3,0.42857142857142855,0.0993902346146352,0.09991315622320153,0.0005229216085663319,False,"0;1,2,3;4;5,6,7"
26,3,0.42857142857142855,0.09939702319190952,0.09991315622320153,0.0005161330312920126,False,"0,1;2,3;4;5,6,7"
27,4,0.5714285714285714,0.0993902346146352,0.09991315622320153,0.0005229216085663319,False,"0;1;2,3;4;5,6,7"
28,3,0.42857142857142855,0.09939831596977453,0.09991315622320152,0.0005148402534269902,False,"0,1,2;3;4;5,6,7"
29,4,0.5714285714285714,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1,2;3;4;5,6,7"
30,4,0.5714285714285714,0.09939610336924551,0.09991315622320152,0.0005170528539560071,False,"0,1;2;3;4;5,6,7"
31,5,0.7142857142857143,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1;2;3;4;5,6,7"
32,1,0.14285714285714285,0.09940376638485154,0.09991315622320152,0.0005093898383499718,False,"0,1,2,3,4,5;6,7"
33,2,0.2857142857142857,0.09939123095917196,0.09991315622320153,0.0005219252640295685,False,"0;1,2,3,4,5;6,7"
34,2,0.2857142857142857,0.0993980195364463,0.09991315622320153,0.0005151366867552354,False,"0,1;2,3,4,5;6,7"
35,3,0.42857142857142855,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1;2,3,4,5;6,7"
36,2,0.2857142857142857,0.09939846583867445,0.09991315622320152,0.0005146903845270612,False,"0,1,2;3,4,5;6,7"
37,3,0.42857142857142855,0.09938946466087112,0.09991315622320152,0.0005236915623303973,False,"0;1,2;3,4,5;6,7"
38,3,0.42857142857142855,0.09939625323814544,0.09991315622320152,0.000516902985056078,False,"0,1;2;3,4,5;6,7"
39,4,0.5714285714285714,0.09938946466087112,0.09991315622320152,0.0005236915623303973,False,"0;1;2;3,4,5;6,7"
40,2,0.2857142857142857,0.09940157299545209,0.09991315622320152,0.0005115832277494264,False,"0,1,2,3;4,5;6,7"
41,3,0.42857142857142855,0.09939038448353514,0.09991315622320153,0.0005227717396663889,False,"0;1,2,3;4,5;6,7"
42,3,0.42857142857142855,0.09939717306080946,0.09991315622320153,0.0005159831623920696,False,"0,1;2,3;4,5;6,7"
43,4,0.5714285714285714,0.09939038448353514,0.09991315622320153,0.0005227717396663889,False,"0;1;2,3;4,5;6,7"
44,3,0.42857142857142855,0.09939846583867447,0.09991315622320152,0.0005146903845270473,False,"0,1,2;3;4,5;6,7"
45,4,0.5714285714285714,0.09938946466087113,0.09991315622320152,0.0005236915623303834,False,"0;1,2;3;4,5;6,7"
46,4,0.5714285714285714,0.09939625323814545,0.09991315622320152,0.0005169029850560641,False,"0,1;2;3;4,5;6,7"
47,5,0.7142857142857143,0.09938946466087113,0.09991315622320152,0.0005236915623303834,False,"0;1;2;3;4,5;6,7"
48,2,0.2857142857142857,0.09940335088274865,0.09991315622320152,0.0005098053404528624,False,"0,1,2,3,4;5;6,7"
49,3,0.42857142857142855,0.09939123095917196,0.09991315622320153,0.0005219252640295685,False,"0;1,2,3,4;5;6,7"
50,3,0.42857142857142855,0.09939801953644628,0.09991315622320153,0.0005151366867552493,False,"0,1;2,3,4;5;6,7"
51,4,0.5714285714285714,0.09939123095917196,0.09991315622320153,0.0005219252640295685,False,"0;1;2,3,4;5;6,7"
52,3,0.42857142857142855,0.09939831596977451,0.09991315622320152,0.0005148402534270041,False,"0,1,2;3,4;5;6,7"
53,4,0.5714285714285714,0.09938931479197118,0.09991315622320152,0.0005238414312303402,False,"0;1,2;3,4;5;6,7"
54,4,0.5714285714285714,0.0993961033692455,0.09991315622320152,0.000517052853956021,False,"0,1;2;3,4;5;6,7"
55,5,0.7142857142857143,0.09938931479197118,0.09991315622320152,0.0005238414312303402,False,"0;1;2;3,4;5;6,7"
56,3,0.42857142857142855,0.09940142312655213,0.09991315622320152,0.0005117330966493833,False,"0,1,2,3;4;5;6,7"
57,4,0.5714285714285714,0.09939023461463518,0.09991315622320153,0.0005229216085663457,False,"0;1,2,3;4;5;6,7"
58,4,0.5714285714285714,0.0993970231919095,0.09991315622320153,0.0005161330312920265,False,"0,1;2,3;4;5;6,7"
59,5,0.7142857142857143,0.09939023461463518,0.09991315622320153,0.0005229216085663457,False,"0;1;2,3;4;5;6,7"
60,4,0.5714285714285714,0.09939831596977451,0.09991315622320152,0.0005148402534270041,False,"0,1,2;3;4;5;6,7"
61,5,0.7142857142857143,0.09938931479197118,0.09991315622320152,0.0005238414312303402,False,"0;1,2;3;4;5;6,7"
62,5,0.7142857142857143,0.0993961033692455,0.09991315622320152,0.000517052853956021,False,"0,1;2;3;4;5;6,7"
63,6,0.8571428571428571,0.09938931479197118,0.09991315622320152,0.0005238414312303402,False,"0;1;2;3;4;5;6,7"
64,1,0.14285714285714285,0.09940389000543119,0.09991315622320152,0.0005092662177703239,False,"0,1,2,3,4,5,6;7"
65,2,0.2857142857142857,0.09939123095917198,0.09991315622320152,0.0005219252640295408,False,"0;1,2,3,4,5,6;7"
66,2,0.2857142857142857,0.0993980195364463,0.09991315622320153,0.0005151366867552354,False,"0,1;2,3,4,5,6;7"
67,3,0.42857142857142855,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1;2,3,4,5,6;7"
68,2,0.2857142857142857,0.09939837300780889,0.09991315622320152,0.0005147832153926252,False,"0,1,2;3,4,5,6;7"
69,3,0.42857142857142855,0.09938937183000555,0.09991315622320152,0.0005237843931959613,False,"0;1,2;3,4,5,6;7"
70,3,0.42857142857142855,0.09939616040727987,0.09991315622320152,0.000516995815921642,False,"0,1;2;3,4,5,6;7"
71,4,0.5714285714285714,0.09938937183000555,0.09991315622320152,0.0005237843931959613,False,"0;1;2;3,4,5,6;7"
72,2,0.2857142857142857,0.09940148016458651,0.09991315622320152,0.0005116760586150043,False,"0,1,2,3;4,5,6;7"
73,3,0.42857142857142855,0.09939029165266956,0.09991315622320153,0.0005228645705319668,False,"0;1,2,3;4,5,6;7"
74,3,0.42857142857142855,0.09939708022994388,0.09991315622320153,0.0005160759932576475,False,"0,1;2,3;4,5,6;7"
75,4,0.5714285714285714,0.09939029165266956,0.09991315622320153,0.0005228645705319668,False,"0;1;2,3;4,5,6;7"
76,3,0.42857142857142855,0.09939837300780889,0.09991315622320152,0.0005147832153926252,False,"0,1,2;3;4,5,6;7"
77,4,0.5714285714285714,0.09938937183000555,0.09991315622320152,0.0005237843931959613,False,"0;1,2;3;4,5,6;7"
78,4,0.5714285714285714,0.09939616040727987,0.09991315622320152,0.000516995815921642,False,"0,1;2;3;4,5,6;7"
79,5,0.7142857142857143,0.09938937183000555,0.09991315622320152,0.0005237843931959613,False,"0;1;2;3;4,5,6;7"
80,2,0.2857142857142857,0.09940335088274867,0.09991315622320152,0.0005098053404528485,False,"0,1,2,3,4;5,6;7"
81,3,0.42857142857142855,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1,2,3,4;5,6;7"
82,3,0.42857142857142855,0.0993980195364463,0.09991315622320153,0.0005151366867552354,False,"0,1;2,3,4;5,6;7"
83,4,0.5714285714285714,0.09939123095917198,0.09991315622320153,0.0005219252640295546,False,"0;1;2,3,4;5,6;7"
84,3,0.42857142857142855,0.09939831596977453,0.09991315622320152,0.0005148402534269902,False,"0,1,2;3,4;5,6;7"
85,4,0.5714285714285714,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1,2;3,4;5,6;7"
86,4,0.5714285714285714,0.09939610336924551,0.09991315622320152,0.0005170528539560071,False,"0,1;2;3,4;5,6;7"
87,5,0.7142857142857143,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1;2;3,4;5,6;7"
88,3,0.42857142857142855,0.09940142312655215,0.09991315622320152,0.0005117330966493694,False,"0,1,2,3;4;5,6;7"
89,4,0.5714285714285714,0.0993902346146352,0.09991315622320153,0.0005229216085663319,False,"0;1,2,3;4;5,6;7"
90,4,0.5714285714285714,0.09939702319190952,0.09991315622320153,0.0005161330312920126,False,"0,1;2,3;4;5,6;7"
91,5,0.7142857142857143,0.0993902346146352,0.09991315622320153,0.0005229216085663319,False,"0;1;2,3;4;5,6;7"
92,4,0.5714285714285714,0.09939831596977453,0.09991315622320152,0.0005148402534269902,False,"0,1,2;3;4;5,6;7"
93,5,0.7142857142857143,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1,2;3;4;5,6;7"
94,5,0.7142857142857143,0.09939610336924551,0.09991315622320152,0.0005170528539560071,False,"0,1;2;3;4;5,6;7"
95,6,0.8571428571428571,0.09938931479197119,0.09991315622320152,0.0005238414312303263,False,"0;1;2;3;4;5,6;7"
96,2,0.2857142857142857,0.09940340217182056,0.09991364405681215,0.0005102418849915885,False,"0,1,2,3,4,5;6;7"
97,3,0.42857142857142855,0.09939086674614098,0.09991364405681216,0.0005227773106711853,False,"0;1,2,3,4,5;6;7"
98,3,0.42857142857142855,0.09939765532341531,0.09991364405681216,0.0005159887333968521,False,"0,1;2,3,4,5;6;7"
99,4,0.5714285714285714,0.09939086674614099,0.09991364405681216,0.0005227773106711714,False,"0;1;2,3,4,5;6;7"
100,3,0.42857142857142855,0.09939810162564347,0.09991364405681215,0.0005155424311686779,False,"0,1,2;3,4,5;6;7"
101,4,0.5714285714285714,0.09938910044784013,0.09991364405681215,0.000524543608972014,False,"0;1,2;3,4,5;6;7"
102,4,0.5714285714285714,0.09939588902511445,0.09991364405681215,0.0005177550316976948,False,"0,1;2;3,4,5;6;7"
103,5,0.7142857142857143,0.09938910044784013,0.09991364405681215,0.000524543608972014,False,"0;1;2;3,4,5;6;7"
104,3,0.42857142857142855,0.0994012087824211,0.09991364405681215,0.0005124352743910432,False,"0,1,2,3;4,5;6;7"
105,4,0.5714285714285714,0.09939002027050416,0.09991364405681216,0.0005236237863080057,False,"0;1,2,3;4,5;6;7"
106,4,0.5714285714285714,0.09939680884777848,0.09991364405681216,0.0005168352090336864,False,"0,1;2,3;4,5;6;7"
107,5,0.7142857142857143,0.09939002027050416,0.09991364405681216,0.0005236237863080057,False,"0;1;2,3;4,5;6;7"
108,4,0.5714285714285714,0.09939810162564348,0.09991364405681215,0.000515542431168664,False,"0,1,2;3;4,5;6;7"
109,5,0.7142857142857143,0.09938910044784015,0.09991364405681215,0.0005245436089720001,False,"0;1,2;3;4,5;6;7"
110,5,0.7142857142857143,0.09939588902511447,0.09991364405681215,0.0005177550316976809,False,"0,1;2;3;4,5;6;7"
111,6,0.8571428571428571,0.09938910044784015,0.09991364405681215,0.0005245436089720001,False,"0;1;2;3;4,5;6;7"
112,3,0.42857142857142855,0.09940298666971767,0.09991364405681215,0.0005106573870944792,False,"0,1,2,3,4;5;6;7"
113,4,0.5714285714285714,0.09939086674614098,0.09991364405681216,0.0005227773106711853,False,"0;1,2,3,4;5;6;7"
114,4,0.5714285714285714,0.0993976553234153,0.09991364405681216,0.000515988733396866,False,"0,1;2,3,4;5;6;7"
115,5,0.7142857142857143,0.09939086674614098,0.09991364405681216,0.0005227773106711853,False,"0;1;2,3,4;5;6;7"
116,4,0.5714285714285714,0.09939795175674353,0.09991364405681215,0.0005156923000686209,False,"0,1,2;3,4;5;6;7"
117,5,0.7142857142857143,0.09938895057894019,0.09991364405681215,0.000524693477871957,True,"0;1,2;3,4;5;6;7"
118,5,0.7142857142857143,0.09939573915621451,0.09991364405681215,0.0005179049005976377,False,"0,1;2;3,4;5;6;7"
119,6,0.8571428571428571,0.09938895057894019,0.09991364405681215,0.000524693477871957,True,"0;1;2;3,4;5;6;7"
120,4,0.5714285714285714,0.09940105891352115,0.09991364405681215,0.000512585143291,False,"0,1,2,3;4;5;6;7"
121,5,0.7142857142857143,0.0993898704016042,0.09991364405681216,0.0005237736552079625,False,"0;1,2,3;4;5;6;7"
122,5,0.7142857142857143,0.09939665897887852,0.09991364405681216,0.0005169850779336432,False,"0,1;2,3;4;5;6;7"
123,6,0.8571428571428571,0.0993898704016042,0.09991364405681216,0.0005237736552079625,False,"0;1;2,3;4;5;6;7"
124,5,0.7142857142857143,0.09939795175674353,0.09991364405681215,0.0005156923000686209,False,"0,1,2;3;4;5;6;7"
125,6,0.8571428571428571,0.09938895057894019,0.09991364405681215,0.000524693477871957,True,"0;1,2;3;4;5;6;7"
126,6,0.8571428571428571,0.09939573915621451,0.09991364405681215,0.0005179049005976377,False,"0,1;2;3;4;5;6;7"
127,7,1.0,0.09938895057894019,0.09991364405681215,0.000524693477871957,True,0;1;2;3;4;5;6;7
