assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,1.5,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,1.75,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.0,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.25,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.5,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.75,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.0,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.25,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.5,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.75,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.0,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,0.0,below_minimum_effect,0.0
1.0,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,0.0,below_minimum_effect,0.0
0.9,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,0.0,below_minimum_effect,0.0
0.75,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,0.0,below_minimum_effect,0.0
0.5,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,0.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.041395,independent_bounded,0.958605,1.5,1.0,below_minimum_effect,0.041395
1.0,0.0,,0.0,,legacy_ratio,0.00251,independent_bounded,0.99749,1.75,1.0,below_minimum_effect,0.00251
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.0,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.25,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.5,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,2.75,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.0,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.25,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.5,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.75,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.0,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,1.0,below_minimum_effect,0.0
1.0,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,1.0,below_minimum_effect,0.0
0.9,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,1.0,below_minimum_effect,0.0
0.75,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,1.0,below_minimum_effect,0.0
0.5,1.0,,1.0,,deterministic_interval,0.0,independent_bounded,0.0,,1.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.957775,independent_bounded,0.042225,1.5,2.0,below_minimum_effect,0.957775
1.0,0.0,,0.0,,legacy_ratio,0.798725,independent_bounded,0.201275,1.75,2.0,below_minimum_effect,0.798725
1.0,0.0,,0.0,,legacy_ratio,0.50019,independent_bounded,0.49981,2.0,2.0,below_minimum_effect,0.50019
1.0,0.0,,0.0,,legacy_ratio,0.201645,independent_bounded,0.798355,2.25,2.0,below_minimum_effect,0.201645
1.0,0.0,,0.0,,legacy_ratio,0.041395,independent_bounded,0.958605,2.5,2.0,below_minimum_effect,0.041395
1.0,0.0,,0.0,,legacy_ratio,0.00251,independent_bounded,0.99749,2.75,2.0,below_minimum_effect,0.00251
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.0,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.25,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.5,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,3.75,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.0,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,2.0,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,2.0,below_minimum_effect,0.0
1.0,0.49981,,0.49981,,deterministic_interval,0.0,independent_bounded,0.50019,,2.0,below_minimum_effect,0.0
0.9,0.62919,,0.62919,,deterministic_interval,0.0,independent_bounded,0.37081,,2.0,below_minimum_effect,0.0
0.75,0.798355,,0.798355,,deterministic_interval,0.0,independent_bounded,0.201645,,2.0,below_minimum_effect,0.0
0.5,0.958605,,0.958605,,deterministic_interval,0.0,independent_bounded,0.041395,,2.0,below_minimum_effect,0.0
