assumed_floor_fraction,contrast_sd,correct_decision_fraction,correlation,decision_method,error_model,false_resolved_fraction,false_unresolved_fraction,resolved_fraction,scientifically_above_minimum_effect,threshold_or_confidence,true_delta
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,1.5,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,1.75,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,2.0,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,2.25,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,2.5,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,2.75,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.0,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.25,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.5,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.75,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.0,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.25,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.5,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.75,0.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,5.0,0.0
1.0,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,0.0
0.9,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,0.0
0.75,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,0.0
0.5,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,0.0
1.0,,0.042225,,legacy_ratio,independent_bounded,0.957775,0.0,0.957775,False,1.5,2.0
1.0,,0.201275,,legacy_ratio,independent_bounded,0.798725,0.0,0.798725,False,1.75,2.0
1.0,,0.49981,,legacy_ratio,independent_bounded,0.50019,0.0,0.50019,False,2.0,2.0
1.0,,0.798355,,legacy_ratio,independent_bounded,0.201645,0.0,0.201645,False,2.25,2.0
1.0,,0.958605,,legacy_ratio,independent_bounded,0.041395,0.0,0.041395,False,2.5,2.0
1.0,,0.99749,,legacy_ratio,independent_bounded,0.00251,0.0,0.00251,False,2.75,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.0,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.25,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.5,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,3.75,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.0,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.25,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.5,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.75,2.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,5.0,2.0
1.0,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,2.0
0.9,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,2.0
0.75,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,2.0
0.5,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,2.0
1.0,,0.0,,legacy_ratio,independent_bounded,1.0,0.0,1.0,False,1.5,3.0
1.0,,0.0,,legacy_ratio,independent_bounded,1.0,0.0,1.0,False,1.75,3.0
1.0,,0.0,,legacy_ratio,independent_bounded,1.0,0.0,1.0,False,2.0,3.0
1.0,,0.00274,,legacy_ratio,independent_bounded,0.99726,0.0,0.99726,False,2.25,3.0
1.0,,0.042225,,legacy_ratio,independent_bounded,0.957775,0.0,0.957775,False,2.5,3.0
1.0,,0.201275,,legacy_ratio,independent_bounded,0.798725,0.0,0.798725,False,2.75,3.0
1.0,,0.49981,,legacy_ratio,independent_bounded,0.50019,0.0,0.50019,False,3.0,3.0
1.0,,0.798355,,legacy_ratio,independent_bounded,0.201645,0.0,0.201645,False,3.25,3.0
1.0,,0.958605,,legacy_ratio,independent_bounded,0.041395,0.0,0.041395,False,3.5,3.0
1.0,,0.99749,,legacy_ratio,independent_bounded,0.00251,0.0,0.00251,False,3.75,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.0,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.25,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.5,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,4.75,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,0.0,False,5.0,3.0
1.0,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,0.0,False,,3.0
0.9,,0.999935,,deterministic_lower_bound,independent_bounded,6.5e-05,0.0,6.5e-05,False,,3.0
0.75,,0.99749,,deterministic_lower_bound,independent_bounded,0.00251,0.0,0.00251,False,,3.0
0.5,,0.958605,,deterministic_lower_bound,independent_bounded,0.041395,0.0,0.041395,False,,3.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,1.5,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,1.75,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,2.0,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,2.25,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,2.5,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,2.75,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,3.0,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,3.25,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,3.5,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,3.75,5.0
1.0,,1.0,,legacy_ratio,independent_bounded,0.0,0.0,1.0,True,4.0,5.0
1.0,,0.99726,,legacy_ratio,independent_bounded,0.0,0.00274,0.99726,True,4.25,5.0
1.0,,0.957775,,legacy_ratio,independent_bounded,0.0,0.042225,0.957775,True,4.5,5.0
1.0,,0.798725,,legacy_ratio,independent_bounded,0.0,0.201275,0.798725,True,4.75,5.0
1.0,,0.50019,,legacy_ratio,independent_bounded,0.0,0.49981,0.50019,True,5.0,5.0
1.0,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,1.0,True,,5.0
0.9,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,1.0,True,,5.0
0.75,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,1.0,True,,5.0
0.5,,1.0,,deterministic_lower_bound,independent_bounded,0.0,0.0,1.0,True,,5.0
1.0,0.5590169943749475,1.0,-0.25,normal_covariance,correlated_normal,0.0,0.0,0.0,False,0.95,0.0
1.0,0.5590169943749475,0.999915,-0.25,normal_covariance,correlated_normal,8.5e-05,0.0,8.5e-05,False,0.95,2.0
1.0,0.5590169943749475,0.975105,-0.25,normal_covariance,correlated_normal,0.024895,0.0,0.024895,False,0.95,3.0
1.0,0.5590169943749475,0.94708,-0.25,normal_covariance,correlated_normal,0.0,0.05292,0.94708,True,0.95,5.0
