case_id,neighbours,fidelity_id,contrast_coefficient,finite_common_support_points,cell_pathway_sensitivity_velocity_rms,cell_pathway_a_velocity_rms,cell_pathway_b_velocity_rms
alph15-7929-2024,4,F000,1.0,31296,0.010721824795299966,0.7550541684847699,0.7550867915823803
alph15-7929-2024,4,F100,-1.0,31296,2.0215312771949372e-08,0.7565157317459382,0.7565157317947903
alph15-7929-2024,4,F010,-1.0,31296,0.011312969936145322,0.758617462589368,0.7586920213408159
alph15-7929-2024,4,F110,1.0,31296,1.9979684098425456e-08,0.75670161535919,0.7567016155425548
alph15-13929-2024,4,F000,1.0,55368,0.01153934521805761,0.6712646400235583,0.6714755840047162
alph15-13929-2024,4,F100,-1.0,55368,1.7293807391471884e-08,0.6722988761385913,0.6722988760931176
alph15-13929-2024,4,F010,-1.0,55368,0.011856161185710475,0.6724346660839878,0.672721994706295
alph15-13929-2024,4,F110,1.0,55368,1.6968667922892372e-08,0.6711755176389603,0.6711755177175477
alph15-7929-2024,8,F000,1.0,31296,0.007817863573886641,0.7550541684847699,0.7549659862868088
alph15-7929-2024,8,F100,-1.0,31296,2.0215312771949372e-08,0.7565157317459382,0.7565157317947903
alph15-7929-2024,8,F010,-1.0,31296,0.008154215278150469,0.758617462589368,0.7585292584431631
alph15-7929-2024,8,F110,1.0,31296,1.9979684098425456e-08,0.75670161535919,0.7567016155425548
alph15-13929-2024,8,F000,1.0,55368,0.009431399940649168,0.6712646400235583,0.6712901585913529
alph15-13929-2024,8,F100,-1.0,55368,1.7293807391471884e-08,0.6722988761385913,0.6722988760931176
alph15-13929-2024,8,F010,-1.0,55368,0.009791969086947848,0.6724346660839878,0.6724997542243447
alph15-13929-2024,8,F110,1.0,55368,1.6968667922892372e-08,0.6711755176389603,0.6711755177175477
alph15-7929-2024,16,F000,1.0,31296,0.005505047185104415,0.7550541684847699,0.7545636009372487
alph15-7929-2024,16,F100,-1.0,31296,2.0215312771949372e-08,0.7565157317459382,0.7565157317947903
alph15-7929-2024,16,F010,-1.0,31296,0.0057646138986496365,0.758617462589368,0.7581042152626017
alph15-7929-2024,16,F110,1.0,31296,1.9979684098425456e-08,0.75670161535919,0.7567016155425548
alph15-13929-2024,16,F000,1.0,55368,0.006826619639189825,0.6712646400235583,0.6710492276504789
alph15-13929-2024,16,F100,-1.0,55368,1.7293807391471884e-08,0.6722988761385913,0.6722988760931176
alph15-13929-2024,16,F010,-1.0,55368,0.007188545028163821,0.6724346660839878,0.6722104153498689
alph15-13929-2024,16,F110,1.0,55368,1.6968667922892372e-08,0.6711755176389603,0.6711755177175477
