case_id,neighbours,fidelity_id,cell_pathway_sensitivity_velocity_rms
alph15-7929-2024,4,F000,2.0407005329174487e-08
alph15-7929-2024,4,F100,0.006339184635585408
alph15-7929-2024,4,F010,2.0106167348008984e-08
alph15-7929-2024,4,F110,0.0065494091637955075
alph15-13929-2024,4,F000,1.737738901449797e-08
alph15-13929-2024,4,F100,0.005859953668318516
alph15-13929-2024,4,F010,1.7440640974057583e-08
alph15-13929-2024,4,F110,0.0059628212874711295
alph15-7929-2024,8,F000,2.0407005329174487e-08
alph15-7929-2024,8,F100,0.0036748397358496625
alph15-7929-2024,8,F010,2.0106167348008984e-08
alph15-7929-2024,8,F110,0.003887259123882811
alph15-13929-2024,8,F000,1.737738901449797e-08
alph15-13929-2024,8,F100,0.004741988483538735
alph15-13929-2024,8,F010,1.7440640974057583e-08
alph15-13929-2024,8,F110,0.004851673323374679
alph15-7929-2024,16,F000,2.0407005329174487e-08
alph15-7929-2024,16,F100,0.0025671936190491945
alph15-7929-2024,16,F010,2.0106167348008984e-08
alph15-7929-2024,16,F110,0.0026290272899913026
alph15-13929-2024,16,F000,1.737738901449797e-08
alph15-13929-2024,16,F100,0.003248416989916526
alph15-13929-2024,16,F010,1.7440640974057583e-08
alph15-13929-2024,16,F110,0.0033719373334361808
