case_id,support,quantity,first_pathway,second_pathway,difference_velocity_rms
alph15-7929-2024,fine_F100,mixed_contrast,linear,idw4,0.001791086232948866
alph15-7929-2024,fine_F100,mixed_contrast,linear,idw8,0.0012830838360825597
alph15-7929-2024,fine_F100,mixed_contrast,linear,idw16,0.001228128640312789
alph15-7929-2024,fine_F100,mixed_contrast,idw4,idw8,0.0009070595428614323
alph15-7929-2024,fine_F100,mixed_contrast,idw4,idw16,0.0015576887804129443
alph15-7929-2024,fine_F100,mixed_contrast,idw8,idw16,0.0008157757023727718
alph15-7929-2024,fine_F100,F000,linear,idw4,0.010721824795299966
alph15-7929-2024,fine_F100,F000,linear,idw8,0.007817863573886641
alph15-7929-2024,fine_F100,F000,linear,idw16,0.005505047185104415
alph15-7929-2024,fine_F100,F000,idw4,idw8,0.005067543676908685
alph15-7929-2024,fine_F100,F000,idw4,idw16,0.008657204086183456
alph15-7929-2024,fine_F100,F000,idw8,idw16,0.004880609926795449
alph15-7929-2024,fine_F100,F100,linear,idw4,2.0215312771949372e-08
alph15-7929-2024,fine_F100,F100,linear,idw8,2.0215312771949372e-08
alph15-7929-2024,fine_F100,F100,linear,idw16,2.0215312771949372e-08
alph15-7929-2024,fine_F100,F100,idw4,idw8,0.0
alph15-7929-2024,fine_F100,F100,idw4,idw16,0.0
alph15-7929-2024,fine_F100,F100,idw8,idw16,0.0
alph15-7929-2024,fine_F100,F010,linear,idw4,0.011312969936145322
alph15-7929-2024,fine_F100,F010,linear,idw8,0.008154215278150469
alph15-7929-2024,fine_F100,F010,linear,idw16,0.0057646138986496365
alph15-7929-2024,fine_F100,F010,idw4,idw8,0.005348950700702052
alph15-7929-2024,fine_F100,F010,idw4,idw16,0.009086584222928094
alph15-7929-2024,fine_F100,F010,idw8,idw16,0.0050481408458154554
alph15-7929-2024,fine_F100,F110,linear,idw4,1.9979684098425456e-08
alph15-7929-2024,fine_F100,F110,linear,idw8,1.9979684098425456e-08
alph15-7929-2024,fine_F100,F110,linear,idw16,1.9979684098425456e-08
alph15-7929-2024,fine_F100,F110,idw4,idw8,0.0
alph15-7929-2024,fine_F100,F110,idw4,idw16,0.0
alph15-7929-2024,fine_F100,F110,idw8,idw16,0.0
alph15-7929-2024,shared_F000,mixed_contrast,linear,idw4,0.0009796901807383079
alph15-7929-2024,shared_F000,mixed_contrast,linear,idw8,0.0006578282091221052
alph15-7929-2024,shared_F000,mixed_contrast,linear,idw16,0.0005704837334049725
alph15-7929-2024,shared_F000,mixed_contrast,idw4,idw8,0.0005819967004777533
alph15-7929-2024,shared_F000,mixed_contrast,idw4,idw16,0.0008269774211519069
alph15-7929-2024,shared_F000,mixed_contrast,idw8,idw16,0.0004430139306620111
alph15-7929-2024,shared_F000,F000,linear,idw4,2.0407005329174487e-08
alph15-7929-2024,shared_F000,F000,linear,idw8,2.0407005329174487e-08
alph15-7929-2024,shared_F000,F000,linear,idw16,2.0407005329174487e-08
alph15-7929-2024,shared_F000,F000,idw4,idw8,0.0
alph15-7929-2024,shared_F000,F000,idw4,idw16,0.0
alph15-7929-2024,shared_F000,F000,idw8,idw16,0.0
alph15-7929-2024,shared_F000,F100,linear,idw4,0.006339184635585408
alph15-7929-2024,shared_F000,F100,linear,idw8,0.0036748397358496625
alph15-7929-2024,shared_F000,F100,linear,idw16,0.0025671936190491945
alph15-7929-2024,shared_F000,F100,idw4,idw8,0.004166201192911742
alph15-7929-2024,shared_F000,F100,idw4,idw16,0.005492926177290245
alph15-7929-2024,shared_F000,F100,idw8,idw16,0.0027644932681268257
alph15-7929-2024,shared_F000,F010,linear,idw4,2.0106167348008984e-08
alph15-7929-2024,shared_F000,F010,linear,idw8,2.0106167348008984e-08
alph15-7929-2024,shared_F000,F010,linear,idw16,2.0106167348008984e-08
alph15-7929-2024,shared_F000,F010,idw4,idw8,0.0
alph15-7929-2024,shared_F000,F010,idw4,idw16,0.0
alph15-7929-2024,shared_F000,F010,idw8,idw16,0.0
alph15-7929-2024,shared_F000,F110,linear,idw4,0.0065494091637955075
